"How old are you?","Job title","What is your annual salary?","Where are you located? (City/state/country)"
"35-44","Talent Management Asst. Director",75000.0,"Nashville, TN"
"25-34","Operations Director",65000.0,"Madison, Wi"
"18-24","Market Research Assistant",,"Las Vegas, NV"
"25-34","Senior Scientist",34600.0,"Cardiff, UK"
"25-34","Social worker (embedded in primary care)",55000.0,"Southeast Michigan, USA"
"25-34","Associate Consultant",45000.0,"Seattle, WA"
"25-34","Development Manager ",51000.0,"Dallas, Texas, United States"
"25-34","Student Records Coordinator",,"Philadelphia"
"35-44","Director ",45000.0,"Bridgeport, mi. Usa"
"25-34","Copywriter",80000.0,"DC"
"35-44","office manager",72000.0,"Brick NJ"
